
STARTING: getCost() (unittest1)
Testing of int getCost(int card):
Test: 289 PASS:  Card Entered: 17, Returned Cost: 5, Expected Cost: 5
Test: 290 PASS:  Card Entered: 19, Returned Cost: 5, Expected Cost: 5
Test: 291 PASS:  Card Entered: 24, Returned Cost: 4, Expected Cost: 4
Test: 292 PASS:  Card Entered: -1, Returned Cost: -1, Expected Cost: -1
Test: 293 PASS:  Card Entered: 14, Returned Cost: 3, Expected Cost: 3
Test: 294 PASS:  Card Entered: 31, Returned Cost: -1, Expected Cost: -1
Test: 295 PASS:  Card Entered: 18, Returned Cost: 3, Expected Cost: 3
Test: 296 PASS:  Card Entered: 22, Returned Cost: 2, Expected Cost: 2
Test: 297 PASS:  Card Entered: 3, Returned Cost: 8, Expected Cost: 8
Test: 298 PASS:  Card Entered: 15, Returned Cost: 4, Expected Cost: 4
Test: 299 PASS:  Card Entered: 3, Returned Cost: 8, Expected Cost: 8
Test: 300 PASS:  Card Entered: 33, Returned Cost: -1, Expected Cost: -1
Test: 301 PASS:  Card Entered: 11, Returned Cost: 5, Expected Cost: 5
Test: 302 PASS:  Card Entered: 25, Returned Cost: 4, Expected Cost: 4
Test: 303 PASS:  Card Entered: 26, Returned Cost: 4, Expected Cost: 4
Test: 304 PASS:  Card Entered: 25, Returned Cost: 4, Expected Cost: 4
Test: 305 PASS:  Card Entered: 29, Returned Cost: -1, Expected Cost: -1
Test: 306 PASS:  Card Entered: 22, Returned Cost: 2, Expected Cost: 2
Test: 307 PASS:  Card Entered: 22, Returned Cost: 2, Expected Cost: 2
Test: 308 PASS:  Card Entered: 17, Returned Cost: 5, Expected Cost: 5
Test: 309 PASS:  Card Entered: 11, Returned Cost: 5, Expected Cost: 5
Test: 310 PASS:  Card Entered: 31, Returned Cost: -1, Expected Cost: -1
Test: 311 PASS:  Card Entered: 3, Returned Cost: 8, Expected Cost: 8
Test: 312 PASS:  Card Entered: 11, Returned Cost: 5, Expected Cost: 5
Test: 313 PASS:  Card Entered: 2, Returned Cost: 5, Expected Cost: 5
Test: 314 PASS:  Card Entered: 12, Returned Cost: 4, Expected Cost: 4
Test: 315 PASS:  Card Entered: 33, Returned Cost: -1, Expected Cost: -1
Test: 316 PASS:  Card Entered: 6, Returned Cost: 6, Expected Cost: 6
Test: 317 PASS:  Card Entered: 35, Returned Cost: -1, Expected Cost: -1
Test: 318 PASS:  Card Entered: 27, Returned Cost: -1, Expected Cost: -1
Test: 319 PASS:  Card Entered: 28, Returned Cost: -1, Expected Cost: -1
Test: 320 PASS:  Card Entered: 12, Returned Cost: 4, Expected Cost: 4
Test: 321 PASS:  Card Entered: 6, Returned Cost: 6, Expected Cost: 6
Test: 322 PASS:  Card Entered: 12, Returned Cost: 4, Expected Cost: 4
Test: 323 PASS:  Card Entered: 14, Returned Cost: 3, Expected Cost: 3
Test: 324 PASS:  Card Entered: 23, Returned Cost: 5, Expected Cost: 5
Test: 325 PASS:  Card Entered: 3, Returned Cost: 8, Expected Cost: 8
Test: 326 PASS:  Card Entered: 35, Returned Cost: -1, Expected Cost: -1
Test: 327 PASS:  Card Entered: 5, Returned Cost: 3, Expected Cost: 3
Test: 328 PASS:  Card Entered: 8, Returned Cost: 5, Expected Cost: 5
Test: 329 PASS:  Card Entered: 10, Returned Cost: 4, Expected Cost: 4
Test: 330 PASS:  Card Entered: 11, Returned Cost: 5, Expected Cost: 5
Test: 331 PASS:  Card Entered: 1, Returned Cost: 2, Expected Cost: 2
Test: 332 PASS:  Card Entered: 23, Returned Cost: 5, Expected Cost: 5
Test: 333 PASS:  Card Entered: 38, Returned Cost: -1, Expected Cost: -1
Test: 334 PASS:  Card Entered: 29, Returned Cost: -1, Expected Cost: -1
Test: 335 PASS:  Card Entered: 8, Returned Cost: 5, Expected Cost: 5
Test: 336 PASS:  Card Entered: 26, Returned Cost: 4, Expected Cost: 4
Test: 337 PASS:  Card Entered: 11, Returned Cost: 5, Expected Cost: 5
Test: 338 PASS:  Card Entered: 32, Returned Cost: -1, Expected Cost: -1
Test: 339 PASS:  Card Entered: 3, Returned Cost: 8, Expected Cost: 8
Test: 340 PASS:  Card Entered: 24, Returned Cost: 4, Expected Cost: 4
Test: 341 PASS:  Card Entered: 22, Returned Cost: 2, Expected Cost: 2
Test: 342 PASS:  Card Entered: 9, Returned Cost: 4, Expected Cost: 4
Test: 343 PASS:  Card Entered: 37, Returned Cost: -1, Expected Cost: -1
Test: 344 PASS:  Card Entered: 27, Returned Cost: -1, Expected Cost: -1
Test: 345 PASS:  Card Entered: 24, Returned Cost: 4, Expected Cost: 4
